"Year","Annual Average Mean Surface Air Temperature","Trend 1951-2020","Trend 1971-2020","Trend 1991-2020"
1950,13.5,,,
1951,12.47,12.471851106639846,,
1952,12.84,12.50279538098155,,
1953,12.98,12.53373965532325,,
1954,12.7,12.564683929664954,,
1955,13.74,12.595628204006655,,
1956,11.79,12.626572478348358,,
1957,12.67,12.657516752690059,,
1958,13.13,12.688461027031762,,
1959,13.1,12.719405301373465,,
1960,12.91,12.750349575715166,,
1961,13.89,12.78129385005687,,
1962,12.96,12.81223812439857,,
1963,12.28,12.843182398740273,,
1964,13.05,12.874126673081976,,
1965,12.71,12.905070947423678,,
1966,13,12.93601522176538,,
1967,13.02,12.966959496107082,,
1968,13.32,12.997903770448785,,
1969,12.54,13.028848044790486,,
1970,13.18,13.059792319132189,,
1971,12.37,13.090736593473892,12.758705882352963,
1972,12.12,13.121680867815593,12.800783193277333,
1973,12.79,13.152625142157296,12.8428605042017,
1974,12.69,13.183569416498997,12.88493781512607,
1975,12.7,13.2145136908407,12.92701512605044,
1976,12.72,13.245457965182403,12.969092436974808,
1977,12.92,13.276402239524105,13.011169747899178,
1978,12.67,13.307346513865808,13.053247058823546,
1979,13.02,13.338290788207509,13.095324369747916,
1980,12.98,13.369235062549212,13.137401680672285,
1981,13.68,13.400179336890913,13.179478991596653,
1982,13.63,13.431123611232616,13.221556302521023,
1983,13.65,13.462067885574319,13.263633613445393,
1984,12.71,13.49301215991602,13.30571092436976,
1985,13.56,13.523956434257723,13.34778823529413,
1986,13.28,13.554900708599424,13.389865546218498,
1987,13.9,13.585844982941127,13.431942857142868,
1988,13.55,13.616789257282829,13.474020168067238,
1989,14.41,13.647733531624532,13.516097478991606,
1990,14.11,13.678677805966235,13.558174789915975,
1991,13.38,13.709622080307936,13.600252100840345,13.746989247311834
1992,13.28,13.740566354649639,13.642329411764713,13.778277345198374
1993,12.92,13.77151062899134,13.684406722689083,13.809565443084916
1994,14.3,13.802454903333043,13.726484033613453,13.840853540971455
1995,14.75,13.833399177674746,13.76856134453782,13.872141638857995
1996,13.73,13.864343452016447,13.81063865546219,13.903429736744535
1997,14.66,13.89528772635815,13.852715966386558,13.934717834631076
1998,14.13,13.926232000699851,13.894793277310928,13.966005932517616
1999,13.99,13.957176275041554,13.936870588235298,13.997294030404156
2000,14.12,13.988120549383256,13.978947899159666,14.028582128290697
2001,14.23,14.019064823724959,14.021025210084035,14.059870226177237
2002,14.27,14.050009098066662,14.063102521008405,14.091158324063777
2003,14.57,14.080953372408363,14.105179831932773,14.122446421950317
2004,13.95,14.111897646750066,14.147257142857143,14.153734519836858
2005,13.91,14.142841921091767,14.189334453781512,14.185022617723398
2006,14.73,14.17378619543347,14.23141176470588,14.216310715609938
2007,13.75,14.204730469775171,14.27348907563025,14.247598813496479
2008,13.68,14.235674744116874,14.315566386554618,14.278886911383019
2009,14.49,14.266619018458577,14.357643697478988,14.310175009269559
2010,13.66,14.297563292800278,14.399721008403358,14.341463107156098
2011,14.74,14.328507567141981,14.441798319327726,14.37275120504264
2012,14.18,14.359451841483683,14.483875630252095,14.40403930292918
2013,13.83,14.390396115825386,14.525952941176465,14.43532740081572
2014,14.71,14.421340390167089,14.568030252100833,14.46661549870226
2015,14.85,14.45228466450879,14.610107563025203,14.4979035965888
2016,14.6,14.483228938850493,14.652184873949572,14.52919169447534
2017,15.07,14.514173213192194,14.69426218487394,14.560479792361882
2018,14.22,14.545117487533897,14.73633949579831,14.591767890248422
2019,14.61,14.5760617618756,14.778416806722678,14.623055988134961
2020,14.71,14.607006036217301,14.820494117647048,14.654344086021501
2021,14.3,,,
2022,15.49,,,
2023,15.27,,,
